,pvp,timestamp
MATB11.SA,2.0,2025-12-02 14:10:30.009633
MATD3.SA,1.090371,2025-12-02 14:10:30.009633
MATIC-USD,2.0,2025-12-02 14:10:30.009633
MCCI11.SA,2.0,2025-12-02 14:10:30.009633
MCDC34.SA,2.0,2025-12-02 14:10:30.009633
MDIA3.SA,1.0312525,2025-12-02 14:10:30.009633
MELI34.SA,0.75309056,2025-12-02 14:10:30.009633
MELK3.SA,0.77978206,2025-12-02 14:10:30.009633
MGLU3.SA,0.6927551,2025-12-02 14:10:30.009633
MLAS3.SA,0.3643617,2025-12-02 14:10:30.009633
MMMC34.SA,26.1444,2025-12-02 14:10:30.009633
MRCK34.SA,3.2621732,2025-12-02 14:10:30.009633
MRVE3.SA,1.0051326,2025-12-02 14:10:30.009633
MSBR34.SA,2.861407,2025-12-02 14:10:30.009633
MSCD34.SA,10.6684885,2025-12-02 14:10:30.009633
MSFT34.SA,2.2229729,2025-12-02 14:10:30.009633
MULT3.SA,2.4545455,2025-12-02 14:10:30.009633
MXRF11.SA,0.96010476,2025-12-02 14:10:30.009633
NASD11.SA,2.0,2025-12-02 14:10:30.009633
NEAR-USD,2.0,2025-12-02 14:10:30.009633
NEOE3.SA,1.0832746,2025-12-02 14:10:30.009633
NEXT34.SA,4.351168,2025-12-02 14:10:30.009633
NFLX34.SA,1.8922449,2025-12-02 14:10:30.009633
NIKE34.SA,3.8188198,2025-12-02 14:10:30.009633
NVDC34.SA,4.190515,2025-12-02 14:10:30.009633
ODPV3.SA,4.9429655,2025-12-02 14:10:30.009633
ORCL34.SA,21.599625,2025-12-02 14:10:30.009633
OXYP34.SA,1.3030463,2025-12-02 14:10:30.009633
P1LD34.SA,1.0136019,2025-12-02 14:10:30.009633
PAGS34.SA,0.22104955,2025-12-02 14:10:30.009633
PATL11.SA,2.0,2025-12-02 14:10:30.009633
PEPB34.SA,3.7417033,2025-12-02 14:10:30.009633
PETR3.SA,1.0081064,2025-12-02 14:10:30.009633
PETR4.SA,0.9581277,2025-12-02 14:10:30.009633
PETZ3.SA,1.2092534,2025-12-02 14:10:30.009633
PFIZ34.SA,2.055634,2025-12-02 14:10:30.009633
PGCO34.SA,2.42578,2025-12-02 14:10:30.009633
PIBB11.SA,2.0,2025-12-02 14:10:30.009633
PLPL3.SA,3.8338807,2025-12-02 14:10:30.009633
PNVL3.SA,1.2231404,2025-12-02 14:10:30.009633
POMO4.SA,1.6901041,2025-12-02 14:10:30.009633
PRIO3.SA,1.1636477,2025-12-02 14:10:30.009633
PSSA3.SA,2.048312,2025-12-02 14:10:30.009633
PVBI11.SA,2.0,2025-12-02 14:10:30.009633
PYPL34.SA,0.7738539,2025-12-02 14:10:30.009633
QBTC11.SA,2.0,2025-12-02 14:10:30.009633
QCOM34.SA,3.8435044,2025-12-02 14:10:30.009633
QETH11.SA,2.0,2025-12-02 14:10:30.009633
QUAL3.SA,0.5147373,2025-12-02 14:10:30.009633
R1IN34.SA,3.6112225,2025-12-02 14:10:30.009633
RADL3.SA,5.8790402,2025-12-02 14:10:30.009633
RAIL3.SA,2.2503023,2025-12-02 14:10:30.009633
RAIZ4.SA,0.6348021,2025-12-02 14:10:30.009633
RANI3.SA,1.3904516,2025-12-02 14:10:30.009633
RAPT4.SA,0.80095917,2025-12-02 14:10:30.009633
RBRF11.SA,2.0,2025-12-02 14:10:30.009633
RBRL11.SA,2.0,2025-12-02 14:10:30.009633
RBRP11.SA,2.0,2025-12-02 14:10:30.009633
RBRR11.SA,2.0,2025-12-02 14:10:30.009633
RBRY11.SA,2.0,2025-12-02 14:10:30.009633
RCRB11.SA,0.6336965,2025-12-02 14:10:30.009633
RDOR3.SA,3.8741307,2025-12-02 14:10:30.009633
RECR11.SA,2.0,2025-12-02 14:10:30.009633
RECT11.SA,2.0,2025-12-02 14:10:30.009633
RECV3.SA,0.671546,2025-12-02 14:10:30.009633
RIOT34.SA,10.795391,2025-12-02 14:10:30.009633
ROXO34.SA,7.2038565,2025-12-02 14:10:30.009633
RZTR11.SA,2.0,2025-12-02 14:10:30.009633
S1PO34.SA,20.557924,2025-12-02 14:10:30.009633
SANB11.SA,1.3959825,2025-12-02 14:10:30.009633
SAPP34.SA,35.031,2025-12-02 14:10:30.009633
SAPR11.SA,0.93455595,2025-12-02 14:10:30.009633
SBSP3.SA,2.2823946,2025-12-02 14:10:30.009633
SDIL11.SA,0.98601186,2025-12-02 14:10:30.009633
SHIB-USD,2.0,2025-12-02 14:10:30.009633
SHUL4.SA,1.1609197,2025-12-02 14:10:30.009633
SIMN34.SA,34.859325,2025-12-02 14:10:30.009633
SLBG34.SA,5.5874124,2025-12-02 14:10:30.009633
SMAL11.SA,2.0,2025-12-02 14:10:30.009633
SMTO3.SA,0.61931473,2025-12-02 14:10:30.009633
SNEC34.SA,0.12002329,2025-12-02 14:10:30.009633
SOL-USD,2.0,2025-12-02 14:10:30.009633
SPXI11.SA,2.0,2025-12-02 14:10:30.009633
SSFO34.SA,0.8777912,2025-12-02 14:10:30.009633
SUZB3.SA,1.3126608,2025-12-02 14:10:30.009633
TAEE11.SA,1.914117,2025-12-02 14:10:30.009633
TASA4.SA,0.49252608,2025-12-02 14:10:30.009633
TECK11.SA,2.0,2025-12-02 14:10:30.009633
TEND3.SA,2.851578,2025-12-02 14:10:30.009633
TEPP11.SA,2.0,2025-12-02 14:10:30.009633
TGAR11.SA,2.0,2025-12-02 14:10:30.009633
TGTB34.SA,14.327568,2025-12-02 14:10:30.009633
TMCO34.SA,0.022780199,2025-12-02 14:10:30.009633
TOTS3.SA,5.0879626,2025-12-02 14:10:30.009633
TRX-USD,2.0,2025-12-02 14:10:30.009633
TRXF11.SA,2.0,2025-12-02 14:10:30.009633
TSLA34.SA,2.971153,2025-12-02 14:10:30.009633
TSMC34.SA,1.0106723,2025-12-02 14:10:30.009633
TXSA34.SA,3.1730187,2025-12-02 14:10:30.009633
U1BE34.SA,8.500775,2025-12-02 14:10:30.009633
UGPA3.SA,1.4499935,2025-12-02 14:10:30.009633
UNHH34.SA,0.23570584,2025-12-02 14:10:30.009633
UNI7083-USD,2.0,2025-12-02 14:10:30.009633
UNIP6.SA,2.7395961,2025-12-02 14:10:30.009633
UPSS34.SA,1.7112385,2025-12-02 14:10:30.009633
URPR11.SA,2.0,2025-12-02 14:10:30.009633
VALE3.SA,1.335473,2025-12-02 14:10:30.009633
VBBR3.SA,1.4313031,2025-12-02 14:10:30.009633
VGHF11.SA,2.0,2025-12-02 14:10:30.009633
VGIP11.SA,2.0,2025-12-02 14:10:30.009633
VILG11.SA,2.0,2025-12-02 14:10:30.009633
